Date,Close price,Open price,High price,Low price,Volume,
2/6/2020,874.8,879.23,882.73,874.53,484.71,
1/6/2020,878.67,868.97,878.67,868.97,476.52,
29/05/2020,864.47,861.59,866.95,859.26,318.19,
28/05/2020,861.39,858.97,866.17,856.48,322.22,
27/05/2020,857.48,869.13,875.35,857.48,388.90,
26/05/2020,869.13,861.47,869.65,860.22,328.35,
25/05/2020,859.04,852.9,860.45,849.12,307.23,
22/05/2020,852.74,859.29,860.65,852.08,303.98,
21/05/2020,862.73,854.93,862.73,854.04,331.91,
20/05/2020,852.91,843.26,852.91,842.21,265.77,
19/05/2020,845.92,852.14,854.25,844.15,385.27,
18/05/2020,837.01,827.49,837.61,823.08,254.05,
15/05/2020,827.03,835.42,838.47,824.59,301.89,
14/05/2020,832.4,830.97,836.19,826.17,341.12,
13/05/2020,834.21,835.32,839.59,815.13,374.60,
12/5/2020,835.32,827.29,835.95,819.66,322.21,
11/5/2020,828.33,818.26,828.33,812.48,353.42,
8/5/2020,813.73,800.32,825.72,800.2,371.34,
7/5/2020,796.54,785.08,796.54,785.08,240.80,
6/5/2020,782.59,767.3,782.59,765.37,272.45,
5/5/2020,764.16,763.22,767.03,760.04,212.38,
4/5/2020,762.47,766.14,769.73,761.64,285.57,
29/04/2020,769.11,768.59,772.62,768.19,250.08,
28/04/2020,767.21,773.31,776.13,763.66,219.40,
27/04/2020,770.77,780.65,785.74,770.77,307.36,
24/04/2020,776.66,777.28,778.3,767.31,262.27,
23/04/2020,773.91,768.92,785.6,768.92,205.80,
22/04/2020,768.92,752.8,774.94,749.97,253.44,
21/04/2020,766.84,794.97,794.97,761.96,397.40,
20/04/2020,794.97,796.17,797.49,786.73,336.05,
17/04/2020,789.6,786.96,790.95,783.74,309.86,
16/04/2020,780.7,773.11,781.06,770.91,250.94,
15/04/2020,777.22,768.05,779.52,768.01,302.62,
14/04/2020,767.41,769.01,769.53,753.85,266.78,
13/04/2020,765.79,762.99,774.62,762.53,235.28,
10/4/2020,757.94,759.08,764.36,751.59,338.40,
9/4/2020,760.33,751.08,765.87,751.08,298.47,
8/4/2020,748.02,740.03,748.36,730.12,252.29,
7/4/2020,746.69,744.97,749.13,730.28,292.97,
6/4/2020,736.75,716.22,736.75,715.39,334.90,
3/4/2020,701.8,687.92,701.8,687.92,233.09,
1/4/2020,680.23,658.8,684.96,657.41,267.02,
31/03/2020,662.53,669.74,678.64,649.1,262.79,
30/03/2020,662.26,663.91,665.56,657.36,233.10,
