Date,Price
27/08/2014,11690000
28/08/2014,12380000
29/08/2014,11860000
02/09/2014,12320000
03/09/2014,12030000
04/09/2014,12400000
05/09/2014,12370000
08/09/2014,12640000
09/09/2014,12700000
10/09/2014,13360000
11/09/2014,13530000
12/09/2014,12850000
15/09/2014,13540000
16/09/2014,14480000
17/09/2014,13060000
18/09/2014,12550000
19/09/2014,11730000
22/09/2014,13140000
23/09/2014,14820000
24/09/2014,14620000
25/09/2014,14110000
26/09/2014,15770000
29/09/2014,16960000
30/09/2014,15490000
01/10/2014,16440000
02/10/2014,16700000
03/10/2014,15160000
06/10/2014,14460000
07/10/2014,16180000
08/10/2014,17350000
09/10/2014,15640000
10/10/2014,19110000
13/10/2014,21160000
14/10/2014,23770000
15/10/2014,26360000
16/10/2014,29260000
17/10/2014,21680000
20/10/2014,22110000
21/10/2014,17720000
22/10/2014,16060000
23/10/2014,16070000
24/10/2014,16430000
27/10/2014,17240000
28/10/2014,15690000
29/10/2014,14610000
30/10/2014,15310000
31/10/2014,13840000
03/11/2014,14410000
04/11/2014,15050000
05/11/2014,14150000
06/11/2014,14460000
07/11/2014,13710000
10/11/2014,13160000
11/11/2014,12710000
12/11/2014,13760000
13/11/2014,13330000
14/11/2014,13790000
17/11/2014,14700000
18/11/2014,13860000
19/11/2014,14010000
20/11/2014,14660000
21/11/2014,13160000
24/11/2014,12920000
25/11/2014,12550000
26/11/2014,12270000
28/11/2014,12640000
01/12/2014,14160000
02/12/2014,14100000
03/12/2014,12750000
04/12/2014,12700000
05/12/2014,12080000
08/12/2014,13050000
09/12/2014,16230000
10/12/2014,15560000
11/12/2014,17680000
12/12/2014,20510000
15/12/2014,19590000
16/12/2014,23550000
17/12/2014,23900000
18/12/2014,17140000
19/12/2014,16570000
22/12/2014,16320000
23/12/2014,14470000
24/12/2014,14520000
26/12/2014,14600000
29/12/2014,16040000
30/12/2014,15900000
31/12/2014,15910000
02/01/2015,17760000
05/01/2015,19190000
06/01/2015,20330000
07/01/2015,20150000
08/01/2015,17930000
09/01/2015,16440000
12/01/2015,18020000
13/01/2015,18210000
14/01/2015,22870000
15/01/2015,21230000
16/01/2015,22800000
20/01/2015,20070000
21/01/2015,20920000
22/01/2015,17980000
23/01/2015,16790000
26/01/2015,16960000
27/01/2015,17600000
28/01/2015,16970000
29/01/2015,20460000
30/01/2015,20230000
02/02/2015,20890000
03/02/2015,18410000
04/02/2015,17820000
05/02/2015,17290000
06/02/2015,16290000
09/02/2015,19160000
10/02/2015,17720000
